0,41
0,50
0,58
0,66
0,80
0,81
1,3
1,11
1,28
1,57
1,67
1,72
1,89
2,13
2,17
2,26
2,30
2,32
2,33
2,46
2,66
2,77
2,79
3,2
3,9
3,23
3,24
3,32
3,39
3,48
3,71
3,79
3,87
4,17
4,44
4,47
4,57
4,62
4,65
4,66
5,5
5,12
5,14
5,32
5,37
5,55
5,66
5,69
6,4
6,22
6,30
6,36
6,53
6,58
6,59
6,74
6,84
7,1
7,22
7,33
7,52
7,59
7,79
8,46
8,47
8,54
8,73
9,6
9,10
9,19
9,40
9,43
9,45
9,49
9,54
9,70
9,74
9,87
10,18
10,29
10,30
10,36
10,79
10,80
11,0
11,22
11,25
11,30
11,37
11,48
11,50
11,59
11,62
11,70
11,79
11,83
12,0
12,9
12,24
12,31
